,lat,long,Date,Timestamp
630,72.8762862,19.0493833,2018-02-17,08:13:29.657Z
634,72.871043,19.046146,2018-02-17,08:35:52.542Z
635,72.871043,19.046146,2018-02-17,08:35:52.542Z
636,72.871043,19.046146,2018-02-17,08:35:52.542Z
640,72.9000899,19.0774884,2018-02-17,12:56:43.401Z
641,72.9000899,19.0774884,2018-02-17,12:56:43.401Z
642,72.9000899,19.0774884,2018-02-17,12:56:43.401Z
646,72.8998221,19.0730847,2018-02-17,15:25:33.606Z
647,72.8998221,19.0730847,2018-02-17,15:25:33.606Z
648,72.8998221,19.0730847,2018-02-17,15:25:33.606Z
652,72.8995788,19.052869299999998,2018-02-17,16:09:43.008Z
653,72.8995788,19.052869299999998,2018-02-17,16:09:43.008Z
654,72.8995788,19.052869299999998,2018-02-17,16:09:43.008Z
658,72.9000899,19.0774884,2018-02-17,17:10:27.399Z
659,72.9000899,19.0774884,2018-02-17,17:10:27.399Z
660,72.9000899,19.0774884,2018-02-17,17:10:27.399Z
665,72.9000899,19.0774884,2018-02-17,17:10:27.399Z
666,72.9000899,19.0774884,2018-02-17,17:10:27.399Z
667,72.9000899,19.0774884,2018-02-17,17:10:27.399Z
671,72.8729633,19.0479898,2018-02-18,07:19:19.850Z
672,72.8729633,19.0479898,2018-02-18,07:19:19.850Z
673,72.8729633,19.0479898,2018-02-18,07:19:19.850Z
677,72.871043,19.046146,2018-02-18,07:31:38.214Z
678,72.871043,19.046146,2018-02-18,07:31:38.214Z
679,72.871043,19.046146,2018-02-18,07:31:38.214Z
686,72.9129845,19.0867654,2018-02-18,09:19:42.369Z
687,72.9129845,19.0867654,2018-02-18,09:19:42.369Z
688,72.9129845,19.0867654,2018-02-18,09:19:42.369Z
692,72.8655789,19.042977399999998,2018-02-18,10:55:18.339Z
693,72.8655789,19.042977399999998,2018-02-18,10:55:18.339Z
694,72.8655789,19.042977399999998,2018-02-18,10:55:18.339Z
698,72.9000899,19.0774884,2018-02-18,11:25:59.820Z
699,72.9000899,19.0774884,2018-02-18,11:25:59.820Z
700,72.9000899,19.0774884,2018-02-18,11:25:59.820Z
704,72.8978032,19.0728088,2018-02-18,15:11:32.399Z
705,72.8978032,19.0728088,2018-02-18,15:11:32.399Z
706,72.8978032,19.0728088,2018-02-18,15:11:32.399Z
710,72.9000899,19.0774884,2018-02-18,16:37:31.581Z
711,72.9000899,19.0774884,2018-02-18,16:37:31.581Z
712,72.9000899,19.0774884,2018-02-18,16:37:31.581Z
717,72.9000899,19.0774884,2018-02-18,16:37:31.581Z
718,72.9000899,19.0774884,2018-02-18,16:37:31.581Z
719,72.9000899,19.0774884,2018-02-18,16:37:31.581Z
723,72.871043,19.046146,2018-02-19,05:31:41.450Z
724,72.871043,19.046146,2018-02-19,05:31:41.450Z
725,72.871043,19.046146,2018-02-19,05:31:41.450Z
729,72.86484229999999,19.0441298,2018-02-19,13:03:11.519Z
730,72.86484229999999,19.0441298,2018-02-19,13:03:11.519Z
731,72.86484229999999,19.0441298,2018-02-19,13:03:11.519Z
735,72.8995453,19.0735074,2018-02-19,14:04:21.000Z
736,72.8995453,19.0735074,2018-02-19,14:04:21.000Z
737,72.8995453,19.0735074,2018-02-19,14:04:21.000Z
747,72.9000899,19.0774884,2018-02-19,15:38:08.774Z
748,72.9000899,19.0774884,2018-02-19,15:38:08.774Z
749,72.9000899,19.0774884,2018-02-19,15:38:08.774Z
754,72.9000899,19.0774884,2018-02-19,15:38:08.774Z
